"Scala_Spark
单选题 （共计 10 题，总计 20分）
1、下面选项中a的取值不一致的是？（ ）。
","[{'optionContent': 'A.val a = 3 \n', 'isCorrect': '-1'}, {'optionContent': 'B.val a:Double = 1 + 2 \n', 'isCorrect': '-1'}, {'optionContent': 'C.var a = 1; a += 2 \n', 'isCorrect': '-1'}, {'optionContent': 'D.val b = 1.+(2); val a = b.toInt \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"







Hive

1、
一下不属于Hive权限的是？
","[{'optionContent': 'A.ALL \n', 'isCorrect': '-1'}, {'optionContent': 'B.ALTER \n', 'isCorrect': '-1'}, {'optionContent': 'C.CREATE \n', 'isCorrect': '-1'}, {'optionContent': 'D.DELETE \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】D
"
"
2、
对于语句
create table teacher(name string) clustered by (name) into 12 buckets row format delimited fields terminated by ' ';
select * from teacher tablesample(bucket 1 out of 3 on name);
中的bucket 1 out of 3 on name，下列说法正确的是：
","[{'optionContent': 'A.1 out of 3表示从编号为1的桶开始抽样，一共抽3个桶的数据 \n', 'isCorrect': '-1'}, {'optionContent': 'B.1 out of 3表示从编号为1的桶开始抽样，一共抽4个桶的数据 \n', 'isCorrect': '-1'}, {'optionContent': 'C.1 out of 3表示从编号未1的桶开始抽样，一共抽1/3个桶的数据 \n', 'isCorrect': '-1'}, {'optionContent': 'D.1 out of 3表示从编号未1的桶开始抽样，一共抽1/4个桶的数据 \n', 'isCorrect': '-1'}]","【答案解析】x out of y表示从第x个桶开始抽样，一共抽取桶数/y个桶的数据。所以1 out of 3是从第1个桶开始抽样，抽取12/3=4个桶的数据。
","【正确答案】B
"
"
3、
Hive数据倾斜原因不包括？
","[{'optionContent': 'A.key分布不均匀 \n', 'isCorrect': '-1'}, {'optionContent': 'B.业务数据本身的特性 \n', 'isCorrect': '-1'}, {'optionContent': 'C.各个节点带宽不一 \n', 'isCorrect': '-1'}, {'optionContent': 'D.某些SQL语句本身就有数据倾斜 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"
4、
下列关于Hive的说法错误的是：
","[{'optionContent': 'A.Hive是Apache提供的基于Hadoop的数仓工具 \n', 'isCorrect': '-1'}, {'optionContent': 'B.Hive提供了类SQL语句用于进行数据的实时分析 \n', 'isCorrect': '-1'}, {'optionContent': 'C.Hive在底层会将SQL转化为MapReduce来执行 \n', 'isCorrect': '-1'}, {'optionContent': 'D.Hive可以基于Hadoop进行数据的ETL过程 \n', 'isCorrect': '-1'}]","【答案解析】Hive是Apache提供的基于Hadoop的数仓工具，提供了类SQL语句，在底层会转化为MapReduce执行，但是执行效率比较低，所以适合于做离线分析，因此B错误。
","【正确答案】B
"
"
5、
Hive中，关于分区表说法错误的是：
","[{'optionContent': 'A.使用分区表在指定的分区中进行查询的时候能够有效的提高效率 \n', 'isCorrect': '-1'}, {'optionContent': 'B.在分区表中不建议跨分区进行查询 \n', 'isCorrect': '-1'}, {'optionContent': 'C.如果将未分区的表中的数据插入到已分区表中的时候，需要开启动态分区机制，并且需要指定分区字段 \n', 'isCorrect': '-1'}, {'optionContent': 'D.分区表中的分区只支持单一字段分区 \n', 'isCorrect': '-1'}]","【答案解析】分区表中支持多字段分区，分区字段的前后顺序决定形成的层级目录的关系。
","【正确答案】D
"
"
6、
Hive最初是由哪家公司开发的？
","[{'optionContent': 'A.Amazon \n', 'isCorrect': '-1'}, {'optionContent': 'B.Facebook \n', 'isCorrect': '-1'}, {'optionContent': 'C.Google \n', 'isCorrect': '-1'}, {'optionContent': 'D.Yahoo \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"
7、
下列不是Hive数据类型的是？
","[{'optionContent': 'A.SMALINT \n', 'isCorrect': '-1'}, {'optionContent': 'B.STRUCT \n', 'isCorrect': '-1'}, {'optionContent': 'C.LIST \n', 'isCorrect': '-1'}, {'optionContent': 'D.ARRAY \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"
8、
关于数据仓库和数据库的说法正确的是：
","[{'optionContent': 'A.两者都是提供了完整的增删改查的能力 \n', 'isCorrect': '-1'}, {'optionContent': 'B.两个都提供了完整的事务能力 \n', 'isCorrect': '-1'}, {'optionContent': 'C.两者针对冗余的处理是不同的 \n', 'isCorrect': '-1'}, {'optionContent': 'D.两者的数据种类都相对单一 \n', 'isCorrect': '-1'}]","【答案解析】数据库中数据的种类和来源相对单一，提供了完整的增删改查的能力，且提供了完整的事务能力，但是数据库强调的是避免冗余；数据仓库中数据的种类和来源相对多样，但是只提供了增和查的能力，不支持修改，且一般强调事务，并且在数据仓库中一般会认为的制造冗余（副本）。
","【正确答案】C
"
"
9、
Hive中关于内部表和外部表的说法正确的是：
","[{'optionContent': 'A.内部表是用于管理HDFS已经存在的文件 \n', 'isCorrect': '-1'}, {'optionContent': 'B.外部表在删除的时候会将原文件一起删除 \n', 'isCorrect': '-1'}, {'optionContent': 'C.在加载外部表的时候需要指定字段之间的间隔方式 \n', 'isCorrect': '-1'}, {'optionContent': 'D.将本地文件加载到HDFS上使用的是外部表 \n', 'isCorrect': '-1'}]","【答案解析】外部表是用于管理HDFS上已经存在的表，在删除的时候不会删除源文件；内部表是在Hive中自己创建的表，在删除的时候会删除对应的文件。所以A、B错误。无论是内部表还是外部表，在加载文件的时候都需要指定字段之间的间隔方式，所以C正确。将本地文件加载到Hive上采用的是内部表，所以D错误。
","【正确答案】C
"
"
10、
下列关于hive内部表与外部表说法正确的是？
","[{'optionContent': 'A.创建内部表，会将数据移动到数据仓库指向的路径 \n', 'isCorrect': '-1'}, {'optionContent': 'B.创建内部表，会记录数据的所在地址 \n', 'isCorrect': '-1'}, {'optionContent': 'C.创建外部表，会将数据移动到数据仓库指向的路径 \n', 'isCorrect': '-1'}, {'optionContent': 'D.删除外部表，会将记录数据的路径上的原始数据一并删除 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】A
"
"
多选题 （共计 5 题，总计 10分）
11、
Hive提高查询效率的手段包括：
","[{'optionContent': 'A.建立索引 \n', 'isCorrect': '-1'}, {'optionContent': 'B.使用分桶表查询 \n', 'isCorrect': '-1'}, {'optionContent': 'C.建立视图 \n', 'isCorrect': '-1'}, {'optionContent': 'D.减少join的使用 \n', 'isCorrect': '-1'}]","【答案解析】分桶表是将数据进行分桶以便于进行数据的抽样，所以不能提高查询效率；而如果想要提高查询效率，可以考虑使用分区表。
","【正确答案】A,C,D
"
"
12、
下列关于OLAP和OLTP系统的说法正确的是：
","[{'optionContent': 'A.一般数据库支持的是OLAP，数据仓库支持的是OLTP \n', 'isCorrect': '-1'}, {'optionContent': 'B.OLAP一般面向管理、市场人员等，OLTP面向技术人员 \n', 'isCorrect': '-1'}, {'optionContent': 'C.OLTP强调的是事务的处理；OLAP则强调数据分析 \n', 'isCorrect': '-1'}, {'optionContent': 'D.OLAP是实时捕获数据，OLTP是存储历史数据 \n', 'isCorrect': '-1'}]","【答案解析】OLAP是联机分析处理系统，强调数据分析，使用数据仓库来存储和处理历史数据，跟过的是面向市场、管理等非技术人员；OLTP是联机事务处理系统，强调事务处理，使用数据库来存储数据，面向DBA等技术人员。
","【正确答案】B,C
"
"
13、
Hive中，关于索引的说法正确的是：
","[{'optionContent': 'A.Hive中的索引需要手动建立 \n', 'isCorrect': '-1'}, {'optionContent': 'B.如果在Hive表中新添加了数据，会自动建立索引 \n', 'isCorrect': '-1'}, {'optionContent': 'C.在删除索引表的时候会删除原数据表 \n', 'isCorrect': '-1'}, {'optionContent': 'D.Hive中可以根据指定的字段建立索引 \n', 'isCorrect': '-1'}]","【答案解析】在Hive中因为不存在主键的概念，所以不会自动建立索引需要手动建立索引，而在建立索引的时候需要指定字段，因此A、D正确。如果向Hive中新添了数据，那么需要手动更新索引表，所以B错误。
","【正确答案】A,C,D
"
"
14、
ETL包括的过程有：
","[{'optionContent': 'A.Extract \n', 'isCorrect': '-1'}, {'optionContent': 'B.Transform \n', 'isCorrect': '-1'}, {'optionContent': 'C.Transaction \n', 'isCorrect': '-1'}, {'optionContent': 'D.Load \n', 'isCorrect': '-1'}]","【答案解析】ETL指的是数据的提取Extract、转化Transform和加载Load，而Transaction是事务，不包含在ETL过程中
","【正确答案】A,B,D
"
"
15、
下列各项中，关于Hive的视图的说法正确的是：
","[{'optionContent': 'A.Hive支持物化视图和虚拟视图 \n', 'isCorrect': '-1'}, {'optionContent': 'B.Hive中的视图在建立好之后就已经触发了查询语句查询了数据 \n', 'isCorrect': '-1'}, {'optionContent': 'C.视图定义中若包含了order by/limit等语句，且查询视图时也定义了order by/limit等语句，则此时视图中的优先级更高 \n', 'isCorrect': '-1'}, {'optionContent': 'D.Hive中的视图支持迭代视图 \n', 'isCorrect': '-1'}]","【答案解析】Hive目前只支持虚拟视图不支持物化视图，所以A错误。Hive视图中定义的查询语句只有在视图第一次被使用的时候才会被触发，所以B错误。
","【正确答案】C,D
"
"




Flume
1、
Flume 采集数据会丢失吗？
","[{'optionContent': 'A.发生宕机有可能会丢失 \n', 'isCorrect': '-1'}, {'optionContent': 'B.不会，Channel 存储可以存储在 File 中，数据传输自身有事务。 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"
2、
flume 的 source,sink,channel 说法正确的是？
channel ：数据缓存
sink ：把数据发送到目的地 
channel ：把数据发送到目的地
sink ：数据缓存 
channel ：数据清洗
sink ：把数据发送到目的地 
channel ：把数据发送到目的地
sink ：数据清洗 
","[{'optionContent': 'A.source ：搜集数据\n', 'isCorrect': '-1'}, {'optionContent': 'B.source ：搜集数据\n', 'isCorrect': '-1'}, {'optionContent': 'C.source ：搜集数据\n', 'isCorrect': '-1'}, {'optionContent': 'D.source ：搜集数据\n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】A
"
"
3、
下列关于Flume的说法，错误的是：
","[{'optionContent': 'A.Flume是Apache提供的一套用于进行日志收集的系统 \n', 'isCorrect': '-1'}, {'optionContent': 'B.在Flume中，数据是以Event形式展现和传输的 \n', 'isCorrect': '-1'}, {'optionContent': 'C.利用Flume，可以灵活的构建复杂流动模型 \n', 'isCorrect': '-1'}, {'optionContent': 'D.Flume目前有2个版本：Flume-og和Flume-ng，这两个版本是兼容的 \n', 'isCorrect': '-1'}]","【答案解析】Flume确实包含两个版本，但是两个版本之间不兼容，所以D错误。
","【正确答案】D
"
"
4、
在Flume中，如果需要对传输的数据进行一些数据的处理和修改，则需要使用：
","[{'optionContent': 'A.Selector \n', 'isCorrect': '-1'}, {'optionContent': 'B.Interceptor \n', 'isCorrect': '-1'}, {'optionContent': 'C.Processor \n', 'isCorrect': '-1'}, {'optionContent': 'D.Filter \n', 'isCorrect': '-1'}]","【答案解析】Selector负责数据的分发方式是复制模式或者是路由模式，不能改变数据，所以A错误。Interceptor中提供了正则格式允许对数据进行改动，所以B正确。Processor是输出方式的指定，决定是采用优先输出还是负载均衡方式，不能改变数据，所以C错误。
","【正确答案】B
"
"
5、
下列关于Flume的Channel中，描述错误的是：
","[{'optionContent': 'A.Memory Channel是内存通道，特点是读写速度快，但是不可靠 \n', 'isCorrect': '-1'}, {'optionContent': 'B.File Channel是文件通道，特点是读写速度慢，但是可靠 \n', 'isCorrect': '-1'}, {'optionContent': 'C.JDBC Channel支持MySQL、Oracle等数据库 \n', 'isCorrect': '-1'}, {'optionContent': 'D.Memory Spillable Channel是内存溢出通道，在存储数据的时候先将数据存入内存，如果内存已满再放入磁盘 \n', 'isCorrect': '-1'}]","【答案解析】JDBC Channel目前只支持Derby数据库。
","【正确答案】C
"
"
6、
下列关于Flum的Source的阐述错误的是：
","[{'optionContent': 'A.AVRO Source需要接收被AVRO序列化之后的数据才能使用 \n', 'isCorrect': '-1'}, {'optionContent': 'B.HTTP Source可以接收GET和POST两种请求，其中最稳定的是GET请求 \n', 'isCorrect': '-1'}, {'optionContent': 'C.Spooling Directory Source用于监听指定目录，如果目录中新添了文件，会自动采集新文件中的内容 \n', 'isCorrect': '-1'}, {'optionContent': 'D.Sequence Generator Source经常用于测试阶段，测试流动模型是否搭建成功 \n', 'isCorrect': '-1'}]","【答案解析】HTTP的请求方式有7种，但是HTTP Source只能接收GET和POST两种，但是GET请求不稳定，所以实际过程中使用的是POST，因此B错误。
","【正确答案】B
"
"
多选题 （共计 3 题，总计 6分）
7、
下列关于Flume中EventDrivenSource和PollableSource的说法正确的是：
","[{'optionContent': 'A.EventDrivenSource是主动型Source \n', 'isCorrect': '-1'}, {'optionContent': 'B.PollableSource是被动型Source \n', 'isCorrect': '-1'}, {'optionContent': 'C.EventDrivenSource需要自定义线程去获取数据 \n', 'isCorrect': '-1'}, {'optionContent': 'D.PollableSource已经提供了线程主动拉取数据 \n', 'isCorrect': '-1'}]","【答案解析】EventDrivenSource是被动型Source，需要自定义线程去获取数据；PollableSource是主动型Source，已经提供了线程去拉去数据。
","【正确答案】C,D
"
"
8、
下列各项中是Agent的组件的是：
","[{'optionContent': 'A.Source \n', 'isCorrect': '-1'}, {'optionContent': 'B.Channel \n', 'isCorrect': '-1'}, {'optionContent': 'C.Selector \n', 'isCorrect': '-1'}, {'optionContent': 'D.Sink \n', 'isCorrect': '-1'}]","【答案解析】Agent一共包含3个组件：Source，Channel和Sink，其中Source中包含子组件Selector和Interceptor
","【正确答案】A,B,D
"
"9、
以下Flume启动指令的参数中，说法正确的是：
","[{'optionContent': 'A.--conf，简写为–c，表示启动的配置文件所在的路径 \n', 'isCorrect': '-1'}, {'optionContent': 'B.--name，简写为-n，表示指定agent的名称 \n', 'isCorrect': '-1'}, {'optionContent': 'C.--file，简写为-f，表示指定要执行的格式文件 \n', 'isCorrect': '-1'}, {'optionContent': 'D.-Dflume.root.logger，可以简写为-Dlog，表示指定日志格式 \n', 'isCorrect': '-1'}]","【答案解析】- - Dflume.root.logger不能简写，用于表示日志信息输出的方式。
","【正确答案】A,B,C
"
"



Hadoop
1、
下列关于Shuffle说法正确的是：
","[{'optionContent': 'A.默认情况下，如果一个文件切片是240M，则一定会产生3次的spill过程 \n', 'isCorrect': '-1'}, {'optionContent': 'B.默认情况下，Spill文件的大小是80M \n', 'isCorrect': '-1'}, {'optionContent': 'C.在缓冲区中，数据会进行排序，采用的是快速排序的方式 \n', 'isCorrect': '-1'}, {'optionContent': 'D.如果溢写文件个数大于等于3个，则在merge过程中一定会进行combine \n', 'isCorrect': '-1'}]","【答案解析】缓冲区的溢写次数和原始数据大小没有关系而是要看MapTask处理之后产生的数据量的大小，所以A错误。Spill文件的大小要考虑序列化因素的影响，所以文件大小不一定是80M，因此B错误。只有在指定了Combiner之后，在merge过程中才可能会产生combine，所以D错误。
","【正确答案】C
"
"2
、
关于SecondaryNameNode 哪项是正确的？
","[{'optionContent': 'A.它是NameNode的热备 \n', 'isCorrect': '-1'}, {'optionContent': 'B.它对内存没有要求 \n', 'isCorrect': '-1'}, {'optionContent': 'C.他的目的使帮助NameNode合并编辑日志，减少NameNode 启动时间 \n', 'isCorrect': '-1'}, {'optionContent': 'D.SecondaryNameNode应与NameNode 部署到一个节点 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"3
、
下列关于Hadoop的说法正确的是：
","[{'optionContent': 'A.Hadoop是Apache提供的一套分布式框架 \n', 'isCorrect': '-1'}, {'optionContent': 'B.Hadoop集群一旦搭建好之后不能动态扩展 \n', 'isCorrect': '-1'}, {'optionContent': 'C.Hadoop目前的所有版本都是兼容的 \n', 'isCorrect': '-1'}, {'optionContent': 'D.Hadoop提供的主要功能是存储而不能计算 \n', 'isCorrect': '-1'}]","【答案解析】Hadoop是Apache提供的一个开源的、可靠的、可扩展的系统架构，可以利用分布式架构来进行海量数据的存储以及计算。所以A正确，B、D错误。Hadoop目前所有版本中，Hadoop1.0和Hadoop2.0版本是不兼容的，所以B错误。
","【正确答案】A
"
"4
、
如果将某一个节点设置为NameNode，则这个节点在选择时候最好是：
","[{'optionContent': 'A.计算型 \n', 'isCorrect': '-1'}, {'optionContent': 'B.内存型 \n', 'isCorrect': '-1'}, {'optionContent': 'C.高IO型 \n', 'isCorrect': '-1'}, {'optionContent': 'D.大磁盘型 \n', 'isCorrect': '-1'}]","【答案解析】因为NameNode需要存储大量的元数据而对磁盘消耗相对较小，所以在选择时候最好选择内存型。
","【正确答案】B
"
"5
、
以下操作，在缓冲区中的发生顺序为：
","[{'optionContent': 'A.partition-combine-sort-spill \n', 'isCorrect': '-1'}, {'optionContent': 'B.sort-partition-combine-spill \n', 'isCorrect': '-1'}, {'optionContent': 'C.spill-sort-combine-partition \n', 'isCorrect': '-1'}, {'optionContent': 'D.partition-sort-combine-spill \n', 'isCorrect': '-1'}]","【答案解析】数据在缓冲区中会先分区，后排序，如果指定了Combiner，那么 排序之后才会进行合并，最后进行溢写。
","【正确答案】D
"
"6
、
下列关于机架感知策略，说法错误的是：
","[{'optionContent': 'A.HDFS中所谓的机架指的是逻辑机架而不是物理机架 \n', 'isCorrect': '-1'}, {'optionContent': 'B.HDFS中的机架本质上是一个映射，可以利用Shell或者Python等脚本实现 \n', 'isCorrect': '-1'}, {'optionContent': 'C.实际开发中，可以将一个或者多个物理机架上的节点映射在一个逻辑机架上 \n', 'isCorrect': '-1'}, {'optionContent': 'D.HDFS中，不能将一个物理机架上节点映射在多个逻辑机架上 \n', 'isCorrect': '-1'}]","【答案解析】因为HDFS中的机架本质上是一个映射，所以可以将一个物理机架上的节点映射到不同的逻辑机架上，因此D错误。
","【正确答案】D
"
"7
、
HDFS（2.7版本）默认BlockSize是多大
","[{'optionContent': 'A.64MB \n', 'isCorrect': '-1'}, {'optionContent': 'B.128MB \n', 'isCorrect': '-1'}, {'optionContent': 'C.256MB \n', 'isCorrect': '-1'}, {'optionContent': 'D.512MB \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"8
、
在MapReduce中，能够将完全杂乱的数据变成有序数据是在下列哪一步发生的？
","[{'optionContent': 'A.缓冲区中的sort \n', 'isCorrect': '-1'}, {'optionContent': 'B.merge中的sort \n', 'isCorrect': '-1'}, {'optionContent': 'C.fetch \n', 'isCorrect': '-1'}, {'optionContent': 'D.group \n', 'isCorrect': '-1'}]","【答案解析】缓冲区的排序是将杂乱的数据整理成有序数据，merge过程中的排序是将局部有序整理成整体有序，fetch是抓取数据，group是将相同的键对应的值分到一组中
","【正确答案】A
"
"9
、
下列关于NameNode的职能描述错误的是：
","[{'optionContent': 'A.管理DataNode \n', 'isCorrect': '-1'}, {'optionContent': 'B.存储元数据 \n', 'isCorrect': '-1'}, {'optionContent': 'C.对外接收操作 \n', 'isCorrect': '-1'}, {'optionContent': 'D.对数据进行切块 \n', 'isCorrect': '-1'}]","【答案解析】对数据进行切块是在客户端进行而不是NameNode负责，所以D错误。
","【正确答案】D
"
"10
、
以下不是Hadoop调度器的是？
","[{'optionContent': 'A.FIFO \n', 'isCorrect': '-1'}, {'optionContent': 'B.Capacity Scheduler \n', 'isCorrect': '-1'}, {'optionContent': 'C.Fair Scheduler \n', 'isCorrect': '-1'}, {'optionContent': 'D.Memory Scheduler \n', 'isCorrect': '-1'}]","【答案解析】比较流行的三种调度器有：默认调度器FIFO，计算能力调度器Capacity Scheduler，公平调度器Fair Scheduler默认调度器FIFOhadoop中默认的调度器，采用先进先出的原则计算能力调度器Capacity Scheduler选择占用资源小，优先级高的先执行公平调度器Fair Scheduler同一队列中的作业公平共享队列中所有资源
","【正确答案】D
"
"
11、
下列各项中不属于Shuffle的优化的是：
","[{'optionContent': 'A.适当增加Combiner过程 \n', 'isCorrect': '-1'}, {'optionContent': 'B.增大缓冲区 \n', 'isCorrect': '-1'}, {'optionContent': 'C.增加fetch线程的数量 \n', 'isCorrect': '-1'}, {'optionContent': 'D.指定sort的方式 \n', 'isCorrect': '-1'}]","【答案解析】Shuffle的调优常见的有以下几种方式：调大缓冲区；增大缓冲区阈值；引入combine过程；对final out文件进行压缩；增多fetch的线程数；降低ReduceTask的阈值；提高merge因子
","【正确答案】D
"
"
12、
下列关于MapReduce的分区机制，说法正确的是：
","[{'optionContent': 'A.在MapReduce中，分区的作用是将数据进行分门别类 \n', 'isCorrect': '-1'}, {'optionContent': 'B.一个分区可以对应多个ReduceTask \n', 'isCorrect': '-1'}, {'optionContent': 'C.分区的数量不影响结果文件的数量 \n', 'isCorrect': '-1'}, {'optionContent': 'D.默认情况下，因为代码中没有显式的指定分区类，所以是不进行分区的 \n', 'isCorrect': '-1'}]","【答案解析】在MapReduce中，要求一个分区对应一个ReduceTask，而一个ReduceTask会产生一个结果文件，所以B、C错误。在默认情况下，如果不指定，则MapReduce中的分区类用的是HashPartitioner，所以D错误。
","【正确答案】A
"
"
13、
在Shuffle的merge过程中进行排序使用的排序方式是：
","[{'optionContent': 'A.冒泡排序 \n', 'isCorrect': '-1'}, {'optionContent': 'B.归并排序 \n', 'isCorrect': '-1'}, {'optionContent': 'C.快速排序 \n', 'isCorrect': '-1'}, {'optionContent': 'D.插入排序 \n', 'isCorrect': '-1'}]","【答案解析】merge过程中的排序是将局部有序数据变成整体有序，而冒泡、快速、插入排序都是讲杂乱数据整理成有序数据，效率较低
","【正确答案】B
"
"
14、
下列关于Block说法错误的是：
","[{'optionContent': 'A.Block是HDFS中数据存储的基本单位 \n', 'isCorrect': '-1'}, {'optionContent': 'B.可以通过dfs.blocksize来调节Block的大小 \n', 'isCorrect': '-1'}, {'optionContent': 'C.切块的意义之一是能够进行快速的备份 \n', 'isCorrect': '-1'}, {'optionContent': 'D.默认情况下，如果一个文件的大小是20M，则这个文件对应的Block大小是128M \n', 'isCorrect': '-1'}]","【答案解析】当一个文件不足一个Block大小的时候，则这个文件整体作为一个Block且文件大小就是Block的大小，所以D错误。
","【正确答案】D
"
"

15、
下列各项中，执行流程正确的是：
","[{'optionContent': 'A.InputFormat-Mapper-Reducer-OutputFormat \n', 'isCorrect': '-1'}, {'optionContent': 'B.Mapper-InputFormat-Reducer-OutputFormat \n', 'isCorrect': '-1'}, {'optionContent': 'C.InputFormat-Mapper-OutputFormat-Reducer \n', 'isCorrect': '-1'}, {'optionContent': 'D.Mapper-InputFormat-OutputFormat-Reducer \n', 'isCorrect': '-1'}]","【答案解析】在MapReduce 的计算过程中，应该是先利用InputFormat对文件进行切片读取数据，然后交给Mapper处理，之后交给Reducer进行规约，最后由OutputFormat来决定输出格式，输出到指定的位置。
","【正确答案】A
"
"
16、
Hadoop可以运行的模式不包括？
","[{'optionContent': 'A.单机模式 \n', 'isCorrect': '-1'}, {'optionContent': 'B.主从模式 \n', 'isCorrect': '-1'}, {'optionContent': 'C.伪分布模式 \n', 'isCorrect': '-1'}, {'optionContent': 'D.完全分布模式 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"
17、
Hadoop的NameNode的端口号是？
","[{'optionContent': 'A.70 \n', 'isCorrect': '-1'}, {'optionContent': 'B.30 \n', 'isCorrect': '-1'}, {'optionContent': 'C.60 \n', 'isCorrect': '-1'}, {'optionContent': 'D.56 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】A
"
"
18、
下列不属于Hadoop集群中hadoop进程的是？
","[{'optionContent': 'A.NameNode \n', 'isCorrect': '-1'}, {'optionContent': 'B.SecondaryNameNode \n', 'isCorrect': '-1'}, {'optionContent': 'C.MasterNode \n', 'isCorrect': '-1'}, {'optionContent': 'D.DataNode \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"
19、
下列关于HDFS的回收站机制说法正确的是：
","[{'optionContent': 'A.默认情况下，HDFS的回收站机制是间隔1440min之后将数据清除 \n', 'isCorrect': '-1'}, {'optionContent': 'B.可以通过fs.trash.interval属性来调节回收间隔时间 \n', 'isCorrect': '-1'}, {'optionContent': 'C.如果需要还原回收站中的数据，需要通过hadoop fs -get命令进行还原 \n', 'isCorrect': '-1'}, {'optionContent': 'D.如果需要关闭回收站机制，可以通过dfs.trash.enabled属性来设置 \n', 'isCorrect': '-1'}]","【答案解析】在HDFS中，回收站机制默认是不开启，可以通过fs.trash.interval属性设置间隔时间来开启回收站机制，如果需要关闭回收站，则时间设置为0或者不设置即可，所以A、D错误，B正确。如果需要将回收站中的内容进行还原，可以通过hadoop fs -mv命令来操作，所以C错误。
","【正确答案】B
"
"
20、
下列各项中，关于SecondaryNameNode的说法正确的是：
","[{'optionContent': 'A.SecondaryNameNode是NameNode的热备份 \n', 'isCorrect': '-1'}, {'optionContent': 'B.SecondaryNameNode可以辅助NameNode完成edits文件的滚动 \n', 'isCorrect': '-1'}, {'optionContent': 'C.如果HDFS集群中不存在SecondaryNameNode，则无法完成edits文件的滚动 \n', 'isCorrect': '-1'}, {'optionContent': 'D.SecondaryNameNode如果宕机会导致数据丢失 \n', 'isCorrect': '-1'}]","【答案解析】SecondaryNameNode只是辅助NameNode进行edits的滚动，但是不能对NameNode进行实时热备，所以A错误，B正确。在HDFS集群中，如果不存在SecondaryNameNode，则edits滚动由NameNode自己完成，所以C错误。因为SecondaryNameNode只是辅助NameNode进行edits的滚动，既不能进行实时热备又不存储具体数据，所以宕机也不会引起数据丢失，因此D错误。
","【正确答案】B
"
"
21、
下列关于Yarn的描述正确的是：
","[{'optionContent': 'A.Yarn的管理结构是ResourceManager直接管理具体的子任务 \n', 'isCorrect': '-1'}, {'optionContent': 'B.ApplicationMaster如果划分出来5个MapTask以及2个ReduceTask，则会和ResourceManager申请7份资源 \n', 'isCorrect': '-1'}, {'optionContent': 'C.如果某一个MapTask出现异常退出，则ResourceManager会试图重启这个任务 \n', 'isCorrect': '-1'}, {'optionContent': 'D.提交的每一个job任务会对应一个ApplicationMaster \n', 'isCorrect': '-1'}]","【答案解析】Yarn的结构是ResourceManager管理ApplicationMaster，ApplicationMaster管理具体的子任务，而当子任务失败的时候，是由ApplicationMaster负责重新启动这个子任务，所以A、C错误。ApplicationMaster在和ResourceManager申请资源的时候是尽量多的申请，所以默认情况下，5个MapTask以及2个ReduceTask会申请17份资源，但是ResourceManager实际上会返回7份资源，所以B错误。
","【正确答案】D
"
"
22、
在dfs目录中，不包括的子目录是：
","[{'optionContent': 'A.data \n', 'isCorrect': '-1'}, {'optionContent': 'B.name \n', 'isCorrect': '-1'}, {'optionContent': 'C.namesecondary \n', 'isCorrect': '-1'}, {'optionContent': 'D.secondaryname \n', 'isCorrect': '-1'}]","【答案解析】dfs目录中包含3个子目录：data、name、namesecondary
","【正确答案】D
"
"
23、
下列关于副本的说法正确的是：
","[{'optionContent': 'A.默认情况下副本数量为3，即一个Block需要进行3次复制额外产生3个副本 \n', 'isCorrect': '-1'}, {'optionContent': 'B.如果第一个副本是集群内部上传，则谁上传就放在谁身上 \n', 'isCorrect': '-1'}, {'optionContent': 'C.在Hadoop2.0的所有版本中，第二个副本都是和第一个副本放在同一个机架的节点上的 \n', 'isCorrect': '-1'}, {'optionContent': 'D.副本的意义是为了能够保证数据不会丢失且减少数据的冗余 \n', 'isCorrect': '-1'}]","【答案解析】默认情况下副本数量为3，是指一个Block需要进行2次复制加上原来的Block一共构成3个副本，所以A错误。在Hadoop2.7版本以前，第二个副本是放在和第一个副本不同机架的节点上，所以C错误。Hadoop副本的出现虽然能够保证数据不丢失，但是相同的数据却要存储多份，此时是人为的制造冗余而不是减少冗余，所以D错误。
","【正确答案】B
"
